{ad25a031-880b-4f88-ac12-82d6c52fbdea} event:/char/badeline/appear
{7a71fc61-b688-4d82-a2b7-781c2434e942} event:/char/badeline/booster_begin
{b2ee45d8-e1b0-43f1-baaa-f6e77d37ddb5} event:/char/badeline/booster_final
{207a212a-2beb-4022-a8da-11ac987d3097} event:/char/badeline/booster_reappear
{7e3c6b4e-e41a-4e9a-9d24-22737c66593b} event:/char/badeline/booster_relocate
{2592d638-f3c5-4f6f-81e0-888a04affa40} event:/char/badeline/booster_throw
{bbe7d0c8-45f9-4671-b49e-8e38e357bb81} event:/char/badeline/boss_bullet
{898fc1ea-250b-4d03-8f37-c0c35799a915} event:/char/badeline/boss_hug
{b4002010-ff11-4311-87c7-f87028220f78} event:/char/badeline/boss_idle_air
{e7a2ddd6-091a-44ab-aac7-e57bd13c009c} event:/char/badeline/boss_laser_charge
{58b5d825-ebcf-457b-b493-9be82640b9eb} event:/char/badeline/boss_laser_fire
{646b0a01-2101-424f-804b-18842f72a62d} event:/char/badeline/boss_prefight_getup
{33df1e8a-7605-4b2d-8235-ee78fbaa8c55} event:/char/badeline/climb_ledge
{b54ae334-409b-4bba-82e2-62753f764f90} event:/char/badeline/dash_red_left
{50356124-434a-4dca-aeb1-52462846fb8a} event:/char/badeline/dash_red_right
{16b40879-0a79-4e42-8c91-fe419a8e186c} event:/char/badeline/disappear
{937c3941-eeb8-4f1f-8451-765b33545202} event:/char/badeline/dreamblock_enter
{3b142d62-975a-41a3-9b59-8e5ba4f6cbdb} event:/char/badeline/dreamblock_exit
{697102c2-9978-42b7-a3b0-0c2b99c9032e} event:/char/badeline/dreamblock_travel
{d879f9dd-98d0-479e-9f08-a1848f4a0f5c} event:/char/badeline/duck
{ff6442f1-66c2-4dba-8d57-038dda8fd296} event:/char/badeline/footstep
{8824489f-1d0b-4670-beb2-08d67cfd3c3b} event:/char/badeline/grab
{c122d904-fb7a-4bfe-99a1-f5a4f8701d17} event:/char/badeline/grab_letgo
{c2cd2f17-045c-4312-b7f6-8e7b750577c0} event:/char/badeline/handhold
{95ce0255-9a27-47b4-a902-fb25c0f2a2e2} event:/char/badeline/jump
{64424649-d82c-4efc-90a9-f54e8411d9b7} event:/char/badeline/jump_assisted
{58e689a2-1717-434f-9fa7-dffcd72ab27e} event:/char/badeline/jump_climb_left
{d9a77828-0390-434a-8cbc-e3df56a40cc4} event:/char/badeline/jump_climb_right
{6faecb61-f82e-400e-9785-4d407a82c838} event:/char/badeline/jump_dreamblock
{bc8a6051-399a-4f76-a865-02b53c5fe8ab} event:/char/badeline/jump_special
{73a21bdf-62c2-46d8-ae04-68e6c0c26b7f} event:/char/badeline/jump_super
{7ca46073-e6b8-4f74-b9a8-ac54a8966c5b} event:/char/badeline/jump_superslide
{2336b17f-5769-4e2e-a636-aee1ddef9086} event:/char/badeline/jump_superwall
{ab3be2a7-36d0-43cb-990a-2c49ba5d5c60} event:/char/badeline/jump_wall_left
{3e5b18db-8f99-4ab7-ad08-8529fd257b6b} event:/char/badeline/jump_wall_right
{8f924592-8b14-40d6-81af-d42fab0b6da1} event:/char/badeline/landing
{25294859-6bfd-434e-9528-8433245fe3b5} event:/char/badeline/level_entry
{38557af4-adf9-4328-9f2c-167b12ff9f8e} event:/char/badeline/maddy_join
{450fb5b3-e9e3-45d8-9f34-ba05e292958f} event:/char/badeline/maddy_split
{1a114663-4b93-4aab-ba8c-ca8793f2831e} event:/char/badeline/stand
{97d0d2e4-92f5-48cf-948f-4fc85b0a0791} event:/char/badeline/temple_move_chats
{a5ceb7fd-8a03-4c79-8d4f-81ad37400f43} event:/char/badeline/temple_move_first
{a2443155-5af1-4e19-80d5-a81a3d9cf06d} event:/char/badeline/wallslide
{720770f9-566e-438a-b779-c73b8b9bab53} event:/char/dialogue/DZ/sfx_support/phone_static_asriel
{c7206696-c702-4218-83de-bec25bf90590} event:/char/dialogue/DZ/sfx_support/phone_static_ex
{d7aa81ef-362d-4d08-bfc0-02e132329f76} event:/char/dialogue/DZ/sfx_support/phone_static_gaster
